created_at,id_str,text,retweet_count,favorite_count
Sun Jul 19 12:15:47 +0000 2020,1284824251430776832,"RT @Soniadoubi655: Le #ConseilDelOrdre une entité dictatoriale et autoritaire qui Saque ses propres médecins 🥼 
Une entité qui sert à qui?…",7,0
Sun Jul 19 12:15:10 +0000 2020,1284824096363159552,c’était l’objectif (ou en Espagne) mais le corona en a décidé autrement https://t.co/4zO2O391rI,1,7
Sun Jul 19 12:14:57 +0000 2020,1284824043699527680,"RT @seguin_nathalie: La vérité est que la Covid-19 ns a été transmise par des ratons-laveurs. En preuve, il porte un masque et se lave trjs…",2485,0
Sun Jul 19 12:14:40 +0000 2020,1284823972635381765,"RT @Nyampinga_: Mais le Corona est fini ou bien c’est comment?? Des soirées partout, aucune distanciation, pas de masque. 
Peut-être que je…",1,0
Sun Jul 19 12:13:59 +0000 2020,1284823802048917504,"RT @mathurin509: Nom: Covid 

Prénom: corona

Sexe : virus

Âge : 19

Nationalité : aide moi stp..........?",6,0
Sun Jul 19 12:12:48 +0000 2020,1284823501678026752,"Nom: Covid 

Prénom: corona

Sexe : virus

Âge : 19

Nationalité : aide moi stp..........?",6,11
Sun Jul 19 12:12:46 +0000 2020,1284823493180297221,"RT @i24NEWS_FR: #Israël: ""Nous protestons contre notre gouvernement qui ne fait rien pour les citoyens. Nous ne savons pas ce qui se passe…",2,0
Sun Jul 19 12:12:40 +0000 2020,1284823467075022848,@andreyaaa10 Comme ça quand on parle aux gens on les postillonne pas dessus vu que le corona il ce donne aussi comm… https://t.co/zJ13m4FppH,0,1
Sun Jul 19 12:12:32 +0000 2020,1284823435605086209,@LouLmrnr Parce que elles vont peut être refermée à cause du corona,0,0
Sun Jul 19 12:12:02 +0000 2020,1284823308211552257,RT @blt_130: @Dzoldyck_ Il a vu corona yeux dans les yeux? Non. Mais il a peur d’être infectée un moment donné on ferme sa gueule c’est tou…,16,0
Sun Jul 19 12:11:57 +0000 2020,1284823288355708940,"#Stellar Lumens affiche une forte croissance au deuxième trimestre 2020 (crypto-news-flash) 

Malgré la pandémie de… https://t.co/QXvOb7GvPK",0,2
Sun Jul 19 12:11:37 +0000 2020,1284823205480411137,RT @___MBK___: Y ma pas vu depuis le début du corona il va faire un infarctus https://t.co/87S2QnlvQM,20,0
Sun Jul 19 12:11:23 +0000 2020,1284823146193920002,heureusement que j'ai miraculeusement trouve LA quasi seule blouse blanche de france capable de répondre autre chos… https://t.co/6P4mxmLqXW,0,0
Sun Jul 19 12:11:23 +0000 2020,1284823145548001280,@Simbatard J'te dirais bien la Côte d'Azur mais miss Corona elle revient en force 😅,0,0
Sun Jul 19 12:11:20 +0000 2020,1284823135167098880,"RT @Conflits_FR: 🇫🇷 ALERTE INFO - La fermeture de la #frontière avec l'#Espagne ""n'est pas exclue"" en cas de fort rebond du #coronavirus et…",540,0
Sun Jul 19 12:11:20 +0000 2020,1284823132503789569,RT @___MBK___: Y ma pas vu depuis le début du corona il va faire un infarctus https://t.co/87S2QnlvQM,20,0
Sun Jul 19 12:10:59 +0000 2020,1284823045941727233,RT @___MBK___: Y ma pas vu depuis le début du corona il va faire un infarctus https://t.co/87S2QnlvQM,20,0
Sun Jul 19 12:10:58 +0000 2020,1284823040979865602,"Y a corona a Val d’Europe officiellement, y a trop trop de monde 😂😂😂",0,0
Sun Jul 19 12:10:54 +0000 2020,1284823025213411329,RT @madamebretzel: Ok alors surtout restez-y et venez pas nous ramener le corona ou vos touristes crades et malpolis qui laissent leur déch…,83,0
Sun Jul 19 12:10:36 +0000 2020,1284822947186855936,"Si y avait pas eu le corona j’aurais sûrement revu Beyoncé omg quel seum, j’espère que ce n’est que partie remise 😔",0,3
Sun Jul 19 12:10:15 +0000 2020,1284822859983052800,"RT @seguin_nathalie: La vérité est que la Covid-19 ns a été transmise par des ratons-laveurs. En preuve, il porte un masque et se lave trjs…",2485,0
Sun Jul 19 12:10:06 +0000 2020,1284822821152096256,"RT @rooomanesque: Après le Corona, maintenant Wuhan est inondée
 Pire que le mauvais œil 💀
#Wuhan",1,0
Sun Jul 19 12:10:02 +0000 2020,1284822807579447300,@Shiikn_942 @ejspptn @trafalgar_yz @Rachtt_on @jesuisilyes J’ai dû me trompé de tweet parce que c’est grv pas à cel… https://t.co/FkJXs4F2sh,0,0
Sun Jul 19 12:08:58 +0000 2020,1284822539089272843,"RT @merryjaneross: On a besoin de la démocratie!  Elle est pas trouvée ici.  On en a marre du gouvernement! Pour moi, l’égoïsme du governme…",54,0
Sun Jul 19 12:08:42 +0000 2020,1284822469547892736,RT @___MBK___: Y ma pas vu depuis le début du corona il va faire un infarctus https://t.co/87S2QnlvQM,20,0
Sun Jul 19 12:07:51 +0000 2020,1284822258473734144,C’est la nouvelle collection Corona https://t.co/TBJVgHCixh,0,0
Sun Jul 19 12:07:36 +0000 2020,1284822192279244800,@lemalgapo @GaspardOOO C’est la collection Corona,0,52
Sun Jul 19 12:07:16 +0000 2020,1284822108518993926,@halima_ibhm Y’a le corona les chioni ont arrêté,0,2
Sun Jul 19 12:07:09 +0000 2020,1284822078680637440,RT @fatima_bocoum: Birima bêle devant chaque membre de la maison. On le caresse par ci et on l’embrasse par là. Il me demande un masque pou…,26,0
Sun Jul 19 12:06:41 +0000 2020,1284821961919672323,Le corona il gâche toute mes vacances ptn,0,1
Sun Jul 19 12:06:33 +0000 2020,1284821930508345346,Le Likud chercherait à écarter la cheffe de la commission Corona https://t.co/3TsOFPL1SS,1,1
Sun Jul 19 12:05:55 +0000 2020,1284821770856476672,La robe elle a une gueule de Corona virus https://t.co/cWAQdZzgBX,1,14
Sun Jul 19 12:05:10 +0000 2020,1284821579428397056,Y ma pas vu depuis le début du corona il va faire un infarctus https://t.co/87S2QnlvQM,20,107
Sun Jul 19 12:03:08 +0000 2020,1284821070869037057,Ptin l’organisation d’un anniversaire sous corona j’ai jamais rien vécu d’aussi stressant,0,4
Sun Jul 19 12:02:52 +0000 2020,1284821004376772614,"RT @IamMarthag: Tout ça c’est à cause du corona, à l’heure actuelle là d’habitude ils sont déjà au Phuket 😩",18,0
Sun Jul 19 12:02:01 +0000 2020,1284820790618329089,"@LahzizBaba Je sais pas appelle tes 8 abonnés, faites une orgie, attrape, le Corona et disparaît de mes mentions tocard",0,0
Sun Jul 19 12:01:56 +0000 2020,1284820766903750657,@OregKata_San Mais avec le Corona ce sera pas avant fin 2021 de toute façon,0,1
Sun Jul 19 12:01:52 +0000 2020,1284820749279166465,"RT @Khvled__: « C est bon le corona est passé on peut sortir »

La deuxième vague : https://t.co/biUYejdvVK",2,0
Sun Jul 19 12:01:12 +0000 2020,1284820585269342215,@Srn139 c’est trop c’est à cause du corona sa en temps normal ils sont tous en thaïlande,0,0
Sun Jul 19 12:00:54 +0000 2020,1284820508211654657,"RT @Soniadoubi655: Le #ConseilDelOrdre une entité dictatoriale et autoritaire qui Saque ses propres médecins 🥼 
Une entité qui sert à qui?…",7,0
Sun Jul 19 12:00:21 +0000 2020,1284820369384378369,"@RD_241 @Martinbezely @syn82ndaa il peut pas il est en quarantaine , son daron le cochonou il a le corona",0,1
Sun Jul 19 11:59:24 +0000 2020,1284820130292273152,@TF1LeJT Il n'y a que les pays riches qui sont touchés par le Corona.,0,0
Sun Jul 19 11:59:20 +0000 2020,1284820113720586240,"La P'tite Fumée #tribal #TranceFamily 🤩🌞- 

F3CK CORONA (Unlocked Session) https://t.co/BxjgIjJ1k8 via @YouTube",0,0
Sun Jul 19 11:59:05 +0000 2020,1284820051246428160,@Moufou92 Ils ont dit septembre normalement mais avec le corona je pense c’est décalé hein j’suis pas sur,0,0
Sun Jul 19 11:58:50 +0000 2020,1284819986175885313,"RT @safouquoii: Dites vous à ce moment là on savait même pas c’était quoi le corona, on vivait notre meilleure vie 😭🇩🇿🇩🇿🇩🇿",4,0
Sun Jul 19 11:56:35 +0000 2020,1284819420691521537,Jcrois jai le corona w’Allah,0,2
Sun Jul 19 11:56:24 +0000 2020,1284819375330070533,"RT @Soniadoubi655: Le #ConseilDelOrdre une entité dictatoriale et autoritaire qui Saque ses propres médecins 🥼 
Une entité qui sert à qui?…",7,0
Sun Jul 19 11:55:58 +0000 2020,1284819266265657345,"Le #ConseilDelOrdre une entité dictatoriale et autoritaire qui Saque ses propres médecins 🥼 
Une entité qui sert à… https://t.co/aE0utr4Ar7",7,10
Sun Jul 19 11:54:54 +0000 2020,1284818997238800386,RT @jacquesjazz44: Les médias n’ont plus assez de morts à annoncer par le corona virus qu’ils doivent aller en chercher il y a 500 ans ;-)…,27,0
Sun Jul 19 11:53:57 +0000 2020,1284818757144190976,jai trop envie de faire un piercing labret et un autre sur le nez mais mon perceur peut pas à cause du corona 😔,0,0
Sun Jul 19 11:53:19 +0000 2020,1284818601221001219,@Tibouchon_ Le port du masque c'est pas pour se proéger du corona mais du gouverne et ment. A porter toute l'année… https://t.co/86WSFYS9Nl,0,0
Sun Jul 19 11:52:17 +0000 2020,1284818337155952641,"@OLfeminin (Sakina, Eugenie, Wendi)très bon match👌👍. Les autres on dirait que vos jambes avait le corona",0,0
